Seniority,Function,Subject Line,Hook 1,Z_Contact Status,Email Opened,Email Replied
Sr. Manager,Fulfillment,Your experience with end-to-end national drop ship fulfillment programs,Came across your profile and ended up reading about your impressive experience managing the end-to-end national drop ship fulfillment program at Cox Communications. Had to reach out!,Unresponsive,,
Director,Supply Chain,"Your participation in the ""Supply Chain Summit 2020""","Recently read about your participation in the American Supply Chain Summit 2020. Super impressed with your insight into today's complex logistics environment & improving efficiencies in supply chain. I know this is a long shot, but I'd love to connect with a supply chain expert like yourself.",Attempting to Contact,8/15/2022,
Director,Warehouse Operations,Question for an expert - JAXPORT and its cold chain partners ,"Came across your name while reading an article featuring your name titled ""JAXPORT and its cold chain partners are building a gateway for fresh & frozen cargo."" Super impressed with your insights into the importance of the Jacksonville cold chain hub. Would love to connect with an experienced logistics & warehouse professional like yourself.  ",Unresponsive,8/2/2022,
Director,Logistics,Your presentation at the Cold Chain Forum - ANFARLOG,Enjoyed your presentation at the Cold Chain Forum - ANFARLOG & was so impressed with your insights on pharmaceutical logistics challenges that had reach out!,Unresponsive,11/18/2022,
VP,Distribution,You in the article U.S. to Continue Needing 2.2 Billion N95s Per Year Post-Pandemic,"Came across your name while reading an article featuring your name titled ""U.S. to Continue Needing 2.2 Billion N95s Per Year Post-Pandemic."" Super impressed with your insights into N95 masks and Meltblown fabric material. I know this is a long shot, but I'd love to connect with a distribution & logistics leader like yourself.",Attempting to Contact,7/20/2022,
Director,Supply Chain,You insights on US Drug Supply Chain Security Act,Came across your profile and ended up reading about your participation in the DSCSA Requirement Journey for Retail Pharmacies webinar - Great insights into the US Drug Supply Chain Security Act. Had to reach out ,Attempting to Contact,,
Director,Supply Chain,Triple Crown Award CVS + Supply chain & Operations expert ,"You have quite a unique and accomplished career to day in Supply Chain & operations, Grace. It's why I'm reaching out 1:1 to you in particular re: your experience at CVS.",Unresponsive,11/12/2022,
VP,Distribution,Your 33+ years of career in distribution ,"Super impressed with your 33+ years of experience in distribution & logistics and would be delighted to connect. I know this is a long shot, but I would be honored to connect with an experience professional like yourself.",Unresponsive,,
VP,Fulfillment,"Your insights on Dick's ""athletes"" customer","Impressed by your participation in the Up Next in Commerce podcast and was so impressed with your insights on Dick's ""athletes"" customer & Fulfillment background that had to reach out!",Unresponsive,11/7/2022,
VP,Supply Chain,DICK’S Sporting Goods wins with Omni-Channel automation,Came across your profile and ended up reading about your participation in a webinar about how DICK’S Sporting Goods wins with Omni-Channel automation and was so impressed with your insights & background that had to reach out!,Unresponsive,,
Sr. Manager,Logistics,FreightWaves Shipper of Choice award,"Congrats on receiving the FreightWaves Shipper of Choice award - I am sure you are crazy busy, but I am so impressed with your 19+ years of Logistics career at Dick's that had to risk a cold email intro. ",Not Interested,11/16/2022,11/14/2022
VP,Supply Chain,Retail Supply Chain experience,Came across your profile and was super impressed with your new position at Dick's & extensive  Retail Supply Chain experience. Had to reach out!,Unresponsive,11/10/2022,
Sr. Manager,Supply Chain,Your experience with strategic sourcing ,Came across your profile and ended up reading about your impressive career at DISH Network & experience leading strategic sourcing and managing contract negotiations. Had to reach out!,Interested,11/8/2022,11/7/2022
Director,Distribution,"Your participation in  ""It's About the Journey""",Recently watched a Youtube video featuring your name titled It's About the Journey! Inspired by your story and impress with your sales & distribution experience in telecommunications. Would be honored to connect with a leader like yourself. ,Interested,8/30/2022,8/3/2022
VP,Distribution,Your participation in the Retail Supply Chain Conference,"Recently read about your participation in the ""Retail Supply Chain Conference."" Enjoyed listening to your insights on supply chain challenges & innovations and would be delighted to connect with a field expert like yourself. ",Attempting to Contact,9/17/2022,
Sr. Manager,Training,Your Q&A on the ICF website,Read your Q&A on the ICF website and enjoyed learning about what made you decide to be a coach & career at Dollar General. Had to reach out!,Unresponsive,11/18/2022,
Director,Distribution,2022 kickoff meeting - words of a leader ,Read your LinkedIn about the 2022 kickoff meeting. Super impressed with your leadership skills and would be delighted to connect with a distribution expert like yourself. ,Not Interested,9/2/2022,8/29/2022
VP,Distribution,Your participation in the IFMA Presidents Conference ,Came across your name in connection to your participation in the event IFMA Presidents Conference 2021. Enjoyed listening to your insights into food distribution & supply chain. Would be honored to connect with a distribution expert like yourself. ,Not Interested,8/2/2022,8/2/2022
VP,Distribution,"You in the podcast ""Global Distribution: Automation and Improvements in Distribution""","Listened to your participation in the podcast ""Global Distribution: Automation and Improvements in Distribution."" Enjoyed listening about your fantastic career progression and would be delighted to connect with a distribution expert like yourself. ",Unresponsive,8/3/2022,
Director,Distribution,"Your article ""How Warehouse Robotics Benefit Our Customers and Personnel."" ??","Read your article ""How Warehouse Robotics Benefit Our Customers and Personnel"" Enjoyed reading your insights on the importance of continuous improvement to support growing direct-to-consumer initiatives and successfully manage continued labor scarcity. Would love to connect in hopes of gaining insight from your depth of experience in the field.",Unresponsive,7/27/2022,
VP,Supply Chain,Global supply chain strategy expert,Came across your profile and ended up reading about your impressive career at ExxonMobil & extensive experience developing global supply chain strategies. Had to reach out! ,Unresponsive,,
Sr. Manager,Supply Chain,Your insights on enabling operating efficiencies,Came across your profile and ended up reading about your impressive career progression at Accenture & experience working with large corporations on reducing costs and enabling operating efficiencies. Had to reach out!,Unresponsive,,
VP,Distribution,You in the article Army Veteran Shares The Career Advice,"Came across your name in connection to an article featuring your name titled ""Army Veteran Shares The Career Advice That Got Him From Harvard To Gap Inc."" Super impressed with the Gap's GapVets program and curious about how you feel working in the private sector after six years with the army. I'd value a chance to connect. ",Interested,8/16/2022,7/22/2022
VP,Fulfillment,Question for an expert - Leveraged automated solutions to avoid delays,Came across your profile while reading an article featuring your name on the Chain Storage website. Impressed after reading how Gap Inc leveraged various automated solutions to ensure its supply chain could meet holiday demand and overcome pandemic-related strains and delays. Would love to connect with a supply chain & logistics expert like yourself. ,Unresponsive,7/20/2022,
VP,Distribution,Kudos - Giant Begins Transition to Electric Delivery,"Came across your name while reading a press release featuring your name titled ""Giant Begins Transition to Electric Delivery Vehicles With Two New EVs."" Super impressed with the commitment of Giant to cleaner transportation & sustainability. Would be honored to connect with a distribution expert like yourself.",Unresponsive,,
Director,Distribution,Your presentation at the One Young World 2021 Summit,Came across your profile and ended up reading about your presentation at the One Young World 2021 Summit & extensive experience structuring Agile Organizations. Had to reach out!,Attempting to Contact,,
Director,Warehouse Operations,Your insights on New Springfield Indoor Farm ,"Recently read an article featuring your name titled ""New Springfield Indoor Farm Nearly Operational."" Super impressed with your insights into the new and upcoming indoor facility and would be delighted to connect with a warehouse & operations expert like yourself. ",Attempting to Contact,8/15/2022,
VP,Delivery,Your 27+ years of operations career,Recently read about your participation in the Grainger Q3 talks. Super impressed with your insights on D&I and would be delighted to connect with an operations expert & a leader like yourself. ,Unresponsive,8/8/2022,
Sr. Manager,Continuous Improvement,Your article about...,Impress by your article Thoughts on the Return to the Workplace - Great insights on the lasting effects of the transition back to the office and its impact on careers. Had to reach out!,Interested,10/30/2022,10/24/2022
Director,Distribution,Your distribution extensive expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/5/2022,
Director,Distribution,"Your article ""Carrying Inventory versus Customer Service""","Not usually a fan of cold email, but felt compelled to reach out after reading your article ""Carrying Inventory versus Customer Service."" Currently looking to source feedback on the project I'm working on from Sr operations & distribution professionals - would love to connect.",Unresponsive,8/2/2022,
Director,Supply Chain,"Your article ""Ocean Nowcast/Forecast Systems for Improvement of Naval Undersea Capabilities""","Not usually a fan of cold email, but felt compelled to reach out after reading your article ""Ocean Nowcast/Forecast Systems for Improvement of Naval Undersea Capabilities."" Currently looking to source feedback on the project I'm working on from Sr Supply Chain professionals - would love to connect.  ",Unresponsive,9/5/2022,
Director,Logistics,Your 15+ years of Logistic career,Came across your profile and ended up reading about your impressive Logistic career at Hanesbrands. Wanted to reach and learn how thinking about tech's role in improving Frontline performance & Operations outcomes.,Attempting to Contact,,
VP,Supply Chain,Your insights on Harbor Freight's tools donation,Super impressed with your background and Harbor Freight's recent donation of tools to  Florence-Darlington Technical College. Had to reach out!,Unresponsive,,
Sr. Manager,Supply Chain,Entrepreneurial connection - DOL Coach,"Impressed with your supply chain experience at Harbor Freight Tools, but even more impressed with your entrepreneurship spirit and work at DOL Coach. Had to reach out!",Unresponsive,,
VP,Logistics,Your 13+ years in Logistics ,"Given your 13+ years working in Logistics, I'd love to connect & learn how you've thought about tech's role in improving Frontline performance & Operations outcomes.",Attempting to Contact,,
VP,Distribution,"Your in ""What the Best Distributor Advisory Councils Look Like""","Came across your name while reading an article featuring your name titled ""What the Best Distributor Advisory Councils Look Like."" Super impressed with the work of your DAC, focusing on serving user needs and increasing sales & profits for both sides. I know this is a long shot, but I'd love to connect with a distribution leader like yourself.

",Attempting to Contact,,
VP,Supply Chain,Your interview on the Drug Store News Youtube Channel,Watched your interview on the Drug Store News Youtube Channel - Great insights on mitigating the effects of DIR fees. Had to reach out!,Unresponsive,11/22/2022,
Director,Warehouse Operations,Staff Member of the Year 2020 + 7+ years of warehouse management expertise ,"I know it's a little outdated, but congrats on your recognition as Staff Member of the Year 2020! This may be a long shot, and I'm sure that you are crazy busy, but I am so impressed with your background I had to reach out in case you could spare a few moments.",Unresponsive,8/9/2022,
Director,Logistics,Your logistics strategy development experience ,Came across your profile and ended up reading about your impressive career at JCP & extensive experience in logistics strategy development. Had to reach out ,Unresponsive,11/7/2022,
Director,Logistics,Your presentation at the Supply Chain & Distribution Latam Pharma Congress ,Impressed with your presentation at the Supply Chain & Distribution Latam Pharma Congress & 12+ years of Logistic career at Johnson & Johnson. Had to reach out!,Attempting to Contact,11/21/2022,
VP,Distribution,"You in ""Opportunities in a Post-Pandemic World.""","Came across your name while reading an article featuring your name titled ""Opportunities in a Post-Pandemic World."" Impressed by your insights on increasing volume for certain items after the worst time of the Covid-19 crisis. Would be honored to connect with a distribution expert like yourself. ",Attempting to Contact,8/9/2022,
VP,Supply Chain,Your 12+ years of supply chain & operations expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/5/2022,
Sr. Manager,Supply Chain,LEAD Award + MBA ,Congrats on receiving the LEAD Award and joining Keurig Dr. Pepper after your MBA. Would love to connect!,Unresponsive,11/15/2022,
VP,Distribution,"Your participation in ""Roundtable: The future of probabilistic planning""","Read about your participation as a panelist in the ""Roundtable: The future of probabilistic planning."" I was Supper impressed with your insights on supply chain planning and would be honored to connect with an expert like yourself. ",Not Interested,8/10/2022,
Sr. Manager,Supply Chain,"Your inclusion in ""Huellas"" book ",Super impressed by your inclusion in the book Huellas & your 31+ years of experience at Kimberly Clark. Had to reach out!,Interested,11/15/2022,10/24/2022
Sr. Manager,Supply Chain,You - Grainer Center hosting its first-ever Alumni Advisory board meeting,Read an article featuring your name about Grainer Center hosting its first-ever Alumni Advisory board meeting and was so impressed with your background & 7+ years of career at Kohl's that had to risk a cold email intro. ,Unresponsive,11/18/2022,
VP,Supply Chain,Your participation in the Sheroes podcast,Enjoyed your participation in the Sheroes podcast - Loved hearing about how you continue to develop as a professional & human being. Had to reach out!,Attempting to Contact,,
VP,Supply Chain,You at the All About Women 2022,Enjoyed your presentation at the  All About Women 2022 Event & was so impressed with your Supply Chain career at Kroger that had to reach out!,Unresponsive,,
VP,Supply Chain,"You in the article ""From Robots To Drones, What Is Changing Inside Warehouses""","Read an article featuring your name titled ""Intralogistics: From Robots To Drones, What Is Changing Inside Warehouses."" Super impressed by Kroger's warehouse expansion & supply chain high tech. Would be honored to connect with a supply chain expert like yourself.  ",Unresponsive,7/20/2022,
Sr. Manager,Supply Chain,Your presentation in Your Dairy Checkoff podcast,Enjoyed your participation in the Your Dairy Checkoff podcast and was so impressed with your insights about milk quality & extensive career in Retail that had to reach out!,Unresponsive,,
Director,Supply Chain,Your participation in Betterworks Customer Story,"I know it's a little outdated, but recently watched a video featuring your name titled ""Betterworks Customer Story: Natalie Collier from Kroger."" Impressed after listening to your insights on tools track OKR and would be delighted to connect with a supply chain expert like yourself. ",Attempting to Contact,8/30/2022,
Director,Fulfillment, Your participation on the RPA ProMatDX Panel Discussion,Watched the video of your participation in the RPA ProMatDX Panel Discussion and was so impressed with your insights & role leading fulfillment & picked-up strategy at Krogers that had to risk a cold email intro. ,Unresponsive,,
Director,Logistics,Your article Thank You Coronavirus,"Enjoyed your article ""Thank You Coronavirus,"" and it felt sub-real to read about Covid in 2022, but it really happened! Either way, I am so impressed with your E-commerce Logistics role at Victoria's Secret that had to reach out!",Unresponsive,,
VP,Supply Chain,"You in the podcast ""COVID-19 and the food supply: How we're keeping stores stocked in a pandemic.""","Listened to your participation in the podcast ""COVID-19 and the food supply: How we're keeping stores stocked in a pandemic."" Super impressed with your insides into supply chain disruption during the Covid-19 crisis and adapting to the new reality of running a business. Would be honored to connect with a supply chain expert like yourself.",Unresponsive,8/8/2022,
Director,Logistics,Your presentation at the Temperature Controlled Logistics Europe Conference,Watched the video of your presentation at the Temperature Controlled Logistics Europe Conference and was so impressed with your insights on cold supply chain & 18+ years of Logistics career at Eli Lilly and Company that had to risk a cold email intro. ,Attempting to Contact,,
VP,Supply Chain,Your insight into Lowe's stakeholders' support during natural disasters ,"Recognize it is outdated, random, and irrelevant to the conversation this email is intended to spark, but recently read an article featuring your name titled ""Lowe’s Sending Supplies To The Coast In Preparation For Hurricane Dorian."" Super impressed with your insights into Lowes's massive facility in Statesville. Would be honored to connect with a supply chain & distribution expert like yourself. ",Unresponsive,,
Director,Fulfillment,Senior Director of the Year!,"Congrats on the recent recognition as ""Senior Director of the year!"" This may be a long shot, and I'm sure that you are crazy busy, but I am so impressed with your background I had to reach out in case you could spare a few moments.",Unresponsive,9/5/2022,
Sr. Manager,Supply Chain,Your Supply Chain PM role at Lowes ,Came across your profile and ended up reading about your impressive product management career  & your experience working across different teams to drive innovation for Lowe's supply chain. Had to reach out.,Unresponsive,,
Sr. Manager,Supply Chain,GTM in supply chain,Impressed by your supply chain career at Lowe's & extensive experience with delivering successful Go To Market strategies in Supply Chain. Had to reach out!,Unresponsive,,
Director,Supply Chain,Founder seeking for feedback ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Interested,8/29/2022,8/25/2022
Director,Distribution,You are the boss - The Boss Fight Podcast,Enjoyed listening to The Boss Fight Podcast and I am so impressed with your 7+ years of Distribution career at Lululemon that had to risk a cold email intro. ,Unresponsive,,
Sr. Manager,Supply Chain,Your participation at the Etch The Edges podcast ,Enjoyed your participation in the Etch The Edges podcast and was so impressed with your insights & 9+ years of career at Macy's that had to reach out!,Unresponsive,,
Director,Logistics,Your presentation at Market Insights Live webinar ,Enjoyed your presentation at the Market Insights Live and was so impressed with your insights on global supply chain trends influencing transportation that had to risk a cold email intro.,Attempting to Contact,11/21/2022,
Director,Logistics,Your insights on Merck vaccine distribution during the Ebola Breakdown ,"Came across your profile and ended up super impressed with your experience and your post about how fast Merck distributed vaccine supplies during the Ebola outbreak in Guinea. Know this is a long shot, but I would love to get your feedback on my Front Line worker's performance Start-Up.",Attempting to Contact,,
Director,Distribution,Your insights during the JAS Pharma & Healthcare Webinar,Impressed with your insights during the JAS Pharma & Healthcare Webinar & 9+ years of distribution and transportation career at Merck. Had to reach out!,Interested,11/14/2022,11/14/2022
Director,Logistics,Your presentation at MADGAINES LIVE by Cassandra Gaines Youtube Channel ,Enjoyed your participation in the MADGAINES LIVE by Cassandra Gaines Youtube Channel and was so impressed with your insights on transportation ?regulations & safety concerns that had to risk a cold email intro. ,Unresponsive,,
Director,Logistics, 19+ years of Supply Chain & Logistics career at Merck,Impressed with your 19+ years of Supply Chain & Logistics career at Merck. Wanted to reach out and learn how you've thought about tech's role in improving frontline performance & operations outcomes,Attempting to Contact,11/21/2022,
Director,Warehouse Operations,Your participation in the American Packaging Summit 2020,I know it's a little outdated but recently read about your participation as a speaker at the American Packaging Summit 2020. Super impressed with your insights on packaging line technology & production flexibility. Would be honored to connect with a warehouse & packaging expert like yourself.,Not Interested,10/3/2022,7/28/2022
